user_id,matched_user_id,action,timestamp
X62,X10,0,2025-10-30
X63,X67,0,2025-10-19
X63,X13,1,2025-10-05
X63,X80,0,2025-01-20
X63,X19,1,2025-07-28
X63,X49,0,2025-10-17
X64,X20,1,2025-07-10
X64,X52,0,2025-04-24
X64,X17,0,2025-04-28
X64,X68,0,2025-08-30
X64,X27,0,2025-03-06
X65,X44,1,2025-05-13
X65,X54,0,2025-06-20
X65,X38,0,2025-08-26
X65,X28,0,2025-10-24
X65,X77,0,2025-12-20
X66,X76,0,2025-11-01
X66,X61,1,2025-09-19
X66,X05,1,2025-02-19
X66,X50,0,2025-02-03
X66,X18,0,2025-10-27
X67,X56,0,2025-10-19
X67,X38,0,2025-12-20
X67,X39,1,2025-02-12
X67,X60,0,2025-04-16
X67,X23,0,2025-07-22
X68,X77,1,2025-07-31
X68,X37,1,2025-01-10
X68,X72,1,2025-10-16
X68,X45,1,2025-06-08
X68,X66,0,2025-02-05
X69,X31,0,2025-06-01
X69,X73,1,2025-08-17
X69,X71,1,2025-05-06
X69,X18,0,2025-04-12
X69,X06,0,2025-11-18
X70,X13,0,2025-04-26
X70,X65,1,2025-10-25
X70,X03,0,2025-01-19
X70,X17,1,2025-09-29
X70,X25,0,2025-12-07
X71,X77,0,2025-03-20
X71,X64,1,2025-01-06
X71,X28,0,2025-04-14
X71,X55,1,2025-10-26
X71,X41,1,2025-07-09
X72,X20,1,2025-03-17
X72,X47,1,2025-02-24
X72,X67,1,2025-01-19
X72,X78,1,2025-11-18
X72,X22,1,2025-02-07
X73,X01,0,2025-01-20
X73,X28,1,2025-07-29
X73,X24,0,2025-07-12
X73,X77,1,2025-06-24
X73,X23,1,2025-03-22
X74,X19,0,2025-02-23
X74,X50,0,2025-06-01
X74,X16,0,2025-09-09
X74,X43,0,2025-03-17
X74,X44,0,2025-12-28
X75,X50,1,2025-07-31
X75,X70,1,2025-06-01
X75,X77,1,2025-04-16
X75,X17,1,2025-04-13
X75,X42,0,2025-12-19
X76,X66,1,2025-08-04
X76,X02,1,2025-01-01
X76,X18,1,2025-03-14
X76,X51,1,2025-11-09
X76,X19,1,2025-03-18
X77,X01,1,2025-03-19
X77,X60,1,2025-09-30
X77,X79,1,2025-01-10
X77,X27,0,2025-01-28
X77,X50,1,2025-01-23
X78,X40,1,2025-01-24
X78,X36,0,2025-11-11
X78,X37,1,2025-04-13
X78,X72,0,2025-09-05
X78,X16,1,2025-02-14
X79,X51,0,2025-12-07
X79,X56,1,2025-09-03
X79,X17,1,2025-10-31
X79,X15,1,2025-03-05
X79,X51,0,2025-06-12
X80,X41,0,2025-05-11
X80,X46,0,2025-11-23
X80,X21,1,2025-07-09
X80,X70,0,2025-11-15
X80,X45,0,2025-01-16
